	MI_dir_L0.1_weight	MI_dir_L0.1_mean	MI_dir_L0.1_variance	H_L0.1_weight	H_L0.1_mean	H_L0.1_variance	HH_L0.1_weight	HH_L0.1_mean	HH_L0.1_std	HH_L0.1_magnitude	HH_L0.1_radius	HH_L0.1_covariance	HH_L0.1_pcc	HH_jit_L0.1_weight	HH_jit_L0.1_mean	HH_jit_L0.1_variance	HpHp_L0.1_weight	HpHp_L0.1_mean	HpHp_L0.1_std
0	1	98	0	1	98	0	1	98	0	98	0	0	0	1	1505914321	0	1	98	0
1	1.931639688	98	1.82E-12	1.931639688	98	1.82E-12	1.931639688	98	1.35E-06	138.5929291	1.82E-12	0	0	1.931639688	726310169.4	5.66E+17	1.931639688	98	1.35E-06
2	2.904272573	86.98175044	231.1821626	2.904272573	86.98175044	231.1821626	1	66	0	114.8564321	0	0	0	1	1505914322	0	1	66	0
3	3.902545862	83.65526796	204.0614349	3.902545862	83.65526796	204.0614349	1	74	0	74	0	0	0	1	1505914322	0	1	74	0
4	4.90254483	81.68582794	177.5746385	4.90254483	81.68582794	177.5746385	1.999999736	74	9.54E-07	74	9.09E-13	0	0	1.999999736	752957061.6	5.67E+17	1	74	0
5	5.902539321	80.38370567	155.8025557	5.902539321	80.38370567	155.8025557	2.999997488	74	9.54E-07	74	9.09E-13	0	0	2.999997488	501971164.2	5.04E+17	1	74	0
6	613.818538	74.09509609	2.659110222	613.818538	74.09509609	2.659110222	610.1528391	74	3.81E-06	95.26804291	1.48E-11	4.22E-27	6.70E-16	610.1528391	2284732.917	3.43539E+15	1	74	0
7	614.7789272	74.09494141	2.654799597	614.7789272	74.09494141	2.654799597	611.1134649	74	3.81E-06	95.26804291	1.48E-11	4.22E-27	6.70E-16	611.1134649	2280994.278	3.42978E+15	1	74	0
8	615.6181697	74.09478719	2.650501803	615.6181697	74.09478719	2.650501803	611.9536658	74	3.57E-06	95.26804291	1.29E-11	4.23E-27	8.78E-16	611.9536658	2277266.881	3.42418E+15	1	74	0
9	616.596022	74.09463346	2.646217747	616.596022	74.09463346	2.646217747	612.93165	74	3.69E-06	95.26804291	1.38E-11	4.23E-27	8.48E-16	612.93165	2273551.512	3.4186E+15	1	74	0
10	617.4738888	74.0944802	2.641946673	617.4738888	74.0944802	2.641946673	613.8102426	74	3.69E-06	95.26804291	1.39E-11	4.23E-27	6.93E-16	613.8102426	2269847.515	3.41304E+15	1	74	0
11	618.1573707	74.09432736	2.637687183	618.1573707	74.09432736	2.637687183	614.4956025	74	3.57E-06	95.26804291	1.30E-11	4.23E-27	7.17E-16	614.4956025	2266153.676	3.4075E+15	1	74	0
12	619.1569927	74.09417501	2.633441404	619.1569927	74.09417501	2.633441404	615.4952267	74	3.81E-06	95.26804291	1.48E-11	4.23E-27	6.71E-16	615.4952267	2262471.839	3.40197E+15	1	74	0
13	620.1566448	74.09402315	2.629209269	620.1566448	74.09402315	2.629209269	616.4948809	74	3.81E-06	95.26804291	1.48E-11	4.23E-27	6.71E-16	616.4948809	2258801.943	3.39646E+15	1	74	0
14	621.1562144	74.09387179	2.624990712	621.1562144	74.09387179	2.624990712	617.494453	74	3.81E-06	95.26804291	1.48E-11	4.23E-27	6.71E-16	617.494453	2255143.931	3.39097E+15	1	74	0
15	622.1561322	74.0937209	2.620785669	622.1561322	74.0937209	2.620785669	618.4943714	74	3.81E-06	95.26804291	1.48E-11	4.23E-27	6.71E-16	618.4943714	2251497.748	3.38549E+15	1	74	0
16	623.1556079	74.09357051	2.616594074	623.1556079	74.09357051	2.616594074	619.4938501	74	3.69E-06	95.26804291	1.39E-11	4.23E-27	6.94E-16	619.4938501	2247863.333	3.38004E+15	1	74	0
17	623.7485185	74.09342049	2.612413138	623.7485185	74.09342049	2.612413138	620.0891528	74	3.44E-06	95.26804291	1.18E-11	4.24E-27	1.83E-15	620.0891528	2244238.268	3.37459E+15	1	74	0
18	624.6997016	74.09327095	2.608245216	624.6997016	74.09327095	2.608245216	621.0406223	74	3.57E-06	95.26804291	1.27E-11	4.24E-27	1.76E-15	621.0406223	2240624.594	3.36917E+15	1	74	0
19	625.6683595	74.09312187	2.604090363	625.6683595	74.09312187	2.604090363	622.0094639	74	3.69E-06	95.26804291	1.36E-11	4.25E-27	1.71E-15	622.0094639	2237022.359	3.36376E+15	1	74	0
20	626.5289023	74.09297324	2.599947805	626.5289023	74.09297324	2.599947805	622.8708221	74	3.69E-06	95.26804291	1.36E-11	4.25E-27	1.71E-15	622.8708221	2233430.888	3.35837E+15	1	74	0
21	627.5286331	74.09282509	2.595818404	627.5286331	74.09282509	2.595818404	623.8705545	74	3.93E-06	95.26804291	1.55E-11	4.26E-27	1.61E-15	623.8705545	2229850.929	3.35299E+15	1	74	0
22	628.5284153	74.0926774	2.591702097	628.5284153	74.0926774	2.591702097	624.870338	74	3.69E-06	95.26804291	1.36E-11	4.26E-27	1.71E-15	624.870338	2226282.427	3.34763E+15	1	74	0
23	629.5273766	74.09253018	2.587598818	629.5273766	74.09253018	2.587598818	625.8693053	74	3.69E-06	95.26804291	1.36E-11	4.26E-27	1.71E-15	625.8693053	2222725.323	3.34229E+15	1	74	0
24	630.4725733	74.09238342	2.583508155	630.4725733	74.09238342	2.583508155	626.8148205	74	3.69E-06	95.26804291	1.36E-11	4.27E-27	1.71E-15	626.8148205	2219179.259	3.33697E+15	1	74	0
25	631.4404936	74.09223711	2.579430199	631.4404936	74.09223711	2.579430199	627.7829269	74	3.81E-06	95.26804291	1.46E-11	4.27E-27	0	627.7829269	2215644.312	3.33166E+15	1	74	0
26	632.4401492	74.09209127	2.575365093	632.4401492	74.09209127	2.575365093	628.7825845	74	3.81E-06	95.26804291	1.46E-11	4.28E-27	0	628.7825845	2212120.607	3.32637E+15	1	74	0
27	633.4167379	74.09194588	2.57131263	633.4167379	74.09194588	2.57131263	629.7593086	74	3.93E-06	95.26804291	1.55E-11	4.28E-27	0	629.7593086	2208607.963	3.3211E+15	1	74	0
28	634.355452	74.09180094	2.567272511	634.355452	74.09180094	2.567272511	630.6983765	74	3.69E-06	95.26804291	1.37E-11	4.29E-27	9.94E-16	630.6983765	2205106.118	3.31584E+15	1	74	0
29	635.3302087	74.09165644	2.563244907	635.3302087	74.09165644	2.563244907	631.6732788	74	3.81E-06	95.26804291	1.46E-11	4.29E-27	9.63E-16	631.6732788	2201615.221	3.3106E+15	1	74	0
30	635.8503778	74.0915123	2.559226891	635.8503778	74.0915123	2.559226891	632.1962097	74	3.93E-06	95.26804291	1.55E-11	4.30E-27	1.62E-15	632.1962097	2198132.734	3.30537E+15	1	74	0
31	636.8056888	74.09136859	2.55522117	636.8056888	74.09136859	2.55522117	633.1517776	74	4.16E-06	95.26804291	1.73E-11	4.29E-27	1.53E-15	633.1517776	2194661.003	3.30015E+15	1	74	0
32	637.7498519	74.09122532	2.55122762	637.7498519	74.09122532	2.55122762	634.0962611	74	4.16E-06	95.26804291	1.73E-11	4.30E-27	1.53E-15	634.0962611	2191199.918	3.29496E+15	1	74	0
33	638.6414318	74.09108248	2.547245857	638.6414318	74.09108248	2.547245857	634.9884621	74	4.16E-06	95.26804291	1.73E-11	4.30E-27	1.53E-15	634.9884621	2187749.147	3.28978E+15	1	74	0
34	639.6011901	74.09094008	2.543276254	639.6011901	74.09094008	2.543276254	635.9484506	74	4.16E-06	95.26804291	1.73E-11	4.30E-27	1.53E-15	635.9484506	2184309.011	3.28461E+15	1	74	0
35	640.5766259	74.09079811	2.539318853	640.5766259	74.09079811	2.539318853	636.9240267	74	4.16E-06	95.26804291	1.73E-11	4.30E-27	1.53E-15	636.9240267	2180879.545	3.27946E+15	1	74	0
36	641.5302287	74.09065658	2.535373462	641.5302287	74.09065658	2.535373462	637.877894	74	4.05E-06	95.26804291	1.64E-11	4.30E-27	1.58E-15	637.877894	2177460.584	3.27433E+15	1	74	0
37	642.428586	74.09051546	2.53143969	642.428586	74.09051546	2.53143969	638.77683	74	4.05E-06	95.26804291	1.68E-11	4.33E-27	5.62E-16	638.77683	2174051.787	3.26921E+15	1	74	0
38	643.3338387	74.09037476	2.527517528	643.3338387	74.09037476	2.527517528	639.6826213	74	4.16E-06	95.26804291	1.76E-11	4.34E-27	5.86E-16	639.6826213	2170653.146	3.26411E+15	1	74	0
39	644.3060056	74.0902345	2.523607332	644.3060056	74.0902345	2.523607332	640.6549461	74	4.26E-06	95.26804291	1.85E-11	4.35E-27	5.71E-16	640.6549461	2167264.968	3.25902E+15	1	74	0
40	645.114183	74.09009462	2.519708057	645.114183	74.09009462	2.519708057	641.4642105	74	4.16E-06	95.26804291	1.78E-11	4.36E-27	5.19E-16	641.4642105	2163886.346	3.25395E+15	1	74	0
41	646.0469363	74.08995517	2.515820408	646.0469363	74.08995517	2.515820408	642.3973443	74	4.26E-06	95.26804291	1.86E-11	4.37E-27	5.07E-16	642.3973443	2160517.891	3.24889E+15	1	74	0
42	646.9797204	74.08981613	2.511944335	646.9797204	74.08981613	2.511944335	643.3305081	74	4.16E-06	95.26804291	1.80E-11	4.39E-27	4.72E-16	643.3305081	2157159.559	3.24384E+15	1	74	0
43	647.9796242	74.08967752	2.508080186	647.9796242	74.08967752	2.508080186	644.3304125	74	4.05E-06	95.26804291	1.71E-11	4.39E-27	4.86E-16	644.3304125	2153811.65	3.23882E+15	1	74	0
44	648.8149919	74.0895393	2.504226929	648.8149919	74.0895393	2.504226929	645.1667073	74	4.16E-06	95.26804291	1.87E-11	4.42E-27	3.94E-16	645.1667073	2150473.27	3.2338E+15	1	74	0
45	649.6764	74.08940148	2.500384675	649.6764	74.08940148	2.500384675	646.0288947	74	4.16E-06	95.26804291	1.89E-11	4.43E-27	3.84E-16	646.0288947	2147144.512	3.22881E+15	1	74	0
46	650.6527587	74.08926408	2.496554054	650.6527587	74.08926408	2.496554054	647.0053861	74	4.05E-06	95.26804291	1.81E-11	4.44E-27	3.95E-16	647.0053861	2143825.924	3.22382E+15	1	74	0
47	651.5606259	74.08912708	2.492734611	651.5606259	74.08912708	2.492734611	647.9137698	74	3.93E-06	95.26804291	1.71E-11	4.46E-27	4.21E-16	647.9137698	2140517.11	3.21885E+15	1	74	0
48	652.5605397	74.0889905	2.488926837	652.5605397	74.0889905	2.488926837	648.9136841	74	3.93E-06	95.26804291	1.71E-11	4.47E-27	4.21E-16	648.9136841	2137218.494	3.2139E+15	1	74	0
49	653.5603133	74.08885433	2.485130677	653.5603133	74.08885433	2.485130677	649.9134589	74	3.69E-06	95.26804291	1.55E-11	4.47E-27	4.49E-16	649.9134589	2133930.028	3.20896E+15	1	74	0
